lower(co_quan_ban_hanh),count_star()
bộ tài chính,10407
thủ tướng chính phủ,5055
chính phủ,5034
bộ nông nghiệp và phát triển nông thôn,2054
bộ giao thông vận tải,1611
bộ y tế,1510
quốc hội,1183
bộ giáo dục và đào tạo,1057
ngân hàng nhà nước,986
bộ nội vụ,913
ngân hàng nhà nước việt nam,897
bộ xây dựng,858
bộ tài nguyên và môi trường,857
bộ công an,755
chủ tịch nước,736
bộ khoa học và công nghệ,650
bộ quốc phòng,645
bộ công nghiệp,626
bộ thông tin và truyền thông,626
bộ tư pháp,611
bộ công thương.,575
bộ thương mại,380
uỷ ban thường vụ quốc hội,359
bộ kế hoạch và đầu tư,326
bộ văn hoá - thông tin,258
bộ công thương,200
bộ thuỷ sản,197
kiểm toán nhà nước,144
bộ văn hóa - thể thao và du lịch,129
bộ ngoại giao,119
bộ nông nghiệp và môi trường,113
bộ lao động,109
ủy ban thường vụ quốc hội,96
uỷ ban dân tộc,81
toà án nhân dân tối cao,73
bộ văn hóa - thông tin,68
bộ lâm nghiệp,65
bộ giáo dục,57
bộ giáo dục và ðào tạo,53
bộ nông nghiệp,42
viện kiểm sát nhân dân tối cao,41
tòa án nhân dân tối cao,34
bộ văn hoá,31
bộ kế hoạch và ðầu tư,29
bộ nông nghiệp và công nghiệp thực phẩm,24